['0.00', '54.678505', '25.263138', '75.91', '25.90', '37.23', '983.97', '7715']
['0.00', '54.678505', '25.263138', '75.91', '25.83', '37.34', '983.91', '7717']
['0.00', '54.678505', '25.263138', '75.91', '25.83', '37.34', '983.91', '7718']
['0.00', '54.678505', '25.263138', '75.91', '25.83', '37.34', '983.91', '7720']
['0.00', '54.678505', '25.263138', '75.91', '25.83', '37.34', '983.91', '7721']
['0.00', '54.678505', '25.263138', '75.91', '26.00', '37.22', '984.20', '7723']
['0.00', '54.678505', '25.263138', '75.91', '26.00', '37.22', '984.20', '7724']
['0.00', '54.678505', '25.263138', '75.91', '26.00', '37.22', '984.20', '7726']
['0.00', '54.678505', '25.263138', '75.91', '26.00', '37.22', '984.20', '7727']
['0.00', '54.678505', '25.263138', '75.91', '25.79', '37.23', '983.82', '7729']
['0.00', '54.678505', '25.263138', '75.91', '25.79', '37.23', '983.82', '7730']
['0.00', '54.678505', '25.263138', '75.91', '25.79', '37.23', '983.82', '7732']
['0.00', '54.678505', '25.263138', '75.91', '25.79', '37.23', '983.82', '7733']
['0.00', '54.678505', '25.263138', '75.91', '25.79', '37.23', '983.82', '7734']
['0.00', '54.678505', '25.263138', '75.91', '25.84', '37.23', '983.88', '7736']
['0.00', '54.678505', '25.263138', '75.91', '25.84', '37.23', '983.88', '7737']
['0.00', '54.678505', '25.263138', '75.91', '25.84', '37.23', '983.88', '7739']
['0.00', '54.678505', '25.263138', '75.91', '25.84', '37.23', '983.88', '7740']
['0.00', '54.678505', '25.263138', '75.91', '25.97', '37.23', '984.11', '7742']
['0.00', '54.678505', '25.263138', '75.91', '25.97', '37.23', '984.11', '7743']
['0.00', '54.678505', '25.263138', '75.91', '25.97', '37.23', '984.11', '7745']
['0.00', '54.678505', '25.263138', '75.91', '25.97', '37.23', '984.11', '7746']
['0.00', '54.678505', '25.263138', '75.91', '25.81', '37.28', '983.85', '7748']
['0.00', '54.678505', '25.263138', '75.91', '25.81', '37.28', '983.85', '7749']
['0.00', '54.678505', '25.263138', '75.91', '25.81', '37.28', '983.85', '7750']
['0.00', '54.678505', '25.263138', '75.91', '25.81', '37.28', '983.85', '7752']
['0.00', '54.678505', '25.263138', '75.91', '26.00', '37.22', '984.18', '7753']
['0.00', '54.678505', '25.263138', '75.91', '26.00', '37.22', '984.18', '7755']
['0.00', '54.678505', '25.263138', '75.91', '26.00', '37.22', '984.18', '7756']
['0.00', '54.678505', '25.263138', '75.91', '26.00', '37.22', '984.18', '7758']
['0.00', '54.678505', '25.263138', '75.91', '25.81', '37.23', '983.88', '7759']
['0.00', '54.678505', '25.263138', '75.91', '25.81', '37.23', '983.88', '7760']
['0.00', '54.678505', '25.263138', '75.91', '25.81', '37.23', '983.88', '7762']
['0.00', '54.678505', '25.263138', '75.91', '25.81', '37.23', '983.88', '7763']
['0.00', '54.678505', '25.263138', '75.90', '25.81', '37.21', '983.85', '7765']
['0.00', '54.678505', '25.263138', '75.90', '25.81', '37.21', '983.85', '7766']
['0.00', '54.678505', '25.263138', '75.90', '25.81', '37.21', '983.85', '7767']
['0.00', '54.678505', '25.263138', '75.90', '25.81', '37.21', '983.85', '7769']
['0.00', '54.678505', '25.263138', '75.90', '25.81', '37.21', '983.85', '7770']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.23', '984.15', '7772']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.23', '984.15', '7773']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.23', '984.15', '7775']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.23', '984.15', '7776']
['0.00', '54.678505', '25.263138', '75.90', '25.81', '37.16', '983.86', '7778']
['0.00', '54.678505', '25.263138', '75.90', '25.81', '37.16', '983.86', '7779']
['0.00', '54.678505', '25.263138', '75.90', '25.81', '37.16', '983.86', '7781']
['0.00', '54.678505', '25.263138', '75.90', '25.81', '37.16', '983.86', '7782']
['0.00', '54.678505', '25.263138', '75.90', '25.97', '37.21', '984.12', '7784']
['0.00', '54.678505', '25.263138', '75.90', '25.97', '37.21', '984.12', '7785']
['0.00', '54.678505', '25.263138', '75.90', '25.97', '37.21', '984.12', '7787']
['0.00', '54.678505', '25.263138', '75.90', '25.97', '37.21', '984.12', '7788']
['0.00', '54.678505', '25.263138', '75.90', '25.81', '37.20', '983.84', '7790']
['0.00', '54.678505', '25.263138', '75.90', '25.81', '37.20', '983.84', '7791']
['0.00', '54.678505', '25.263138', '75.90', '25.81', '37.20', '983.84', '7792']
['0.00', '54.678505', '25.263138', '75.90', '25.81', '37.20', '983.84', '7794']
['0.00', '54.678505', '25.263138', '75.90', '25.78', '37.19', '983.79', '7795']
['0.00', '54.678505', '25.263138', '75.90', '25.78', '37.19', '983.79', '7797']
['0.00', '54.678505', '25.263138', '75.90', '25.78', '37.19', '983.79', '7798']
['0.00', '54.678505', '25.263138', '75.90', '25.78', '37.19', '983.79', '7800']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.20', '984.18', '7801']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.20', '984.18', '7803']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.20', '984.18', '7804']
['0.00', '54.678505', '25.263138', '75.90', '26.00', '37.20', '984.18', '7806']
['0.00', '54.678505', '25.263138', '75.90', '25.82', '37.32', '983.88', '7807']
['0.00', '54.678505', '25.263138', '75.90', '25.82', '37.32', '983.88', '7808']
['0.00', '54.678505', '25.263138', '75.90', '25.82', '37.32', '983.88', '7810']
['0.00', '54.678505', '25.263138', '75.90', '25.82', '37.32', '983.88', '7811']
['0.00', '54.678505', '25.263138', '75.90', '26.03', '37.18', '984.22', '7813']
['0.00', '54.678505', '25.263138', '75.90', '26.03', '37.18', '984.22', '7814']
['0.00', '54.678505', '25.263138', '75.90', '26.03', '37.18', '984.22', '7816']
['0.00', '54.678505', '25.263138', '75.90', '26.03', '37.18', '984.22', '7817']
['0.00', '54.678505', '25.263138', '75.90', '26.03', '37.18', '984.22', '7818']
['0.00', '54.678505', '25.263138', '75.90', '25.81', '37.18', '983.83', '7820']
['0.00', '54.678505', '25.263138', '75.90', '25.81', '37.18', '983.83', '7822']
['0.00', '54.678505', '25.263138', '75.90', '25.81', '37.18', '983.83', '7823']
['0.00', '54.678505', '25.263138', '75.90', '25.81', '37.18', '983.83', '7824']
