['5.31', '54.678307', '25.263159', '-27.39', '26.56', '34.71', '992.06', '37048']
['5.31', '54.678307', '25.263159', '-27.39', '26.56', '34.71', '992.06', '37048']
['5.31', '54.678307', '25.263159', '-27.39', '26.56', '34.71', '992.06', '37049']
['5.31', '54.678307', '25.263157', '-27.39', '26.56', '34.71', '992.06', '37050']
['5.31', '54.678307', '25.263157', '-27.39', '26.56', '34.71', '992.06', '37050']
['5.31', '54.678307', '25.263157', '-27.39', '26.56', '34.72', '992.10', '37051']
['5.31', '54.678307', '25.263157', '-27.39', '26.56', '34.72', '992.10', '37051']
['5.31', '54.678307', '25.263157', '-27.39', '26.56', '34.72', '992.10', '37052']
['5.31', '54.678307', '25.263155', '-27.39', '26.51', '34.71', '991.98', '37053']
['5.31', '54.678307', '25.263155', '-27.39', '26.51', '34.71', '991.98', '37053']
['5.31', '54.678307', '25.263155', '-27.39', '26.51', '34.71', '991.98', '37054']
['5.31', '54.678307', '25.263155', '-27.39', '26.51', '34.71', '991.98', '37054']
['5.31', '54.678303', '25.263153', '-27.39', '26.51', '34.71', '991.98', '37055']
['5.31', '54.678303', '25.263153', '-27.39', '26.15', '34.58', '991.42', '37056']
['5.31', '54.678303', '25.263153', '-27.39', '26.15', '34.58', '991.42', '37056']
['5.31', '54.678303', '25.263153', '-27.39', '26.15', '34.58', '991.42', '37057']
['5.31', '54.678303', '25.263153', '-27.39', '26.15', '34.58', '991.42', '37058']
['5.31', '54.678303', '25.263153', '-27.39', '26.15', '34.58', '991.42', '37058']
['5.31', '54.678303', '25.263153', '-27.39', '26.56', '34.71', '992.03', '37059']
['5.31', '54.678299', '25.263144', '-27.39', '26.56', '34.71', '992.03', '37060']
['5.31', '54.678299', '25.263144', '-27.39', '26.56', '34.71', '992.03', '37060']
['5.31', '54.678299', '25.263142', '-27.39', '26.51', '34.71', '992.02', '37061']
['5.31', '54.678299', '25.263142', '-27.39', '26.51', '34.71', '992.02', '37062']
['5.31', '54.678299', '25.263142', '-27.39', '26.51', '34.71', '992.02', '37062']
['5.31', '54.678299', '25.263140', '-27.39', '26.51', '34.71', '992.02', '37063']
['5.31', '54.678295', '25.263136', '-27.39', '26.45', '34.71', '991.94', '37064']
['5.31', '54.678295', '25.263136', '-27.39', '26.45', '34.71', '991.94', '37064']
['5.31', '54.678299', '25.263134', '-27.39', '26.45', '34.71', '991.94', '37065']
['5.31', '54.678299', '25.263134', '-27.39', '26.45', '34.71', '991.94', '37066']
['5.31', '54.678299', '25.263134', '-27.39', '26.45', '34.71', '991.94', '37066']
['5.31', '54.678299', '25.263134', '-27.39', '26.51', '34.70', '991.97', '37067']
['5.31', '54.678299', '25.263134', '-27.39', '26.51', '34.70', '991.97', '37067']
['5.31', '54.678295', '25.263130', '-27.39', '26.51', '34.70', '991.97', '37068']
['5.31', '54.678295', '25.263130', '-27.39', '26.50', '34.64', '991.95', '37069']
['5.31', '54.678295', '25.263130', '-27.39', '26.50', '34.64', '991.95', '37069']
['5.31', '54.678295', '25.263130', '-27.39', '26.50', '34.64', '991.95', '37070']
['5.31', '54.678299', '25.263128', '-27.39', '26.50', '34.64', '991.95', '37071']
['5.31', '54.678299', '25.263128', '-27.39', '26.50', '34.64', '991.95', '37071']
['5.31', '54.678299', '25.263126', '-27.39', '26.55', '34.69', '992.04', '37072']
