['0.00', '0.000000', '0.000000', '-64.17', '4.12', '1.99', '25.43', '40.05', '993.86', '654']
['0.00', '0.000000', '0.000000', '-64.17', '4.12', '1.99', '25.43', '40.05', '993.86', '654']
['0.00', '0.000000', '0.000000', '-64.17', '4.12', '1.99', '25.43', '40.05', '993.86', '655']
['0.00', '0.000000', '0.000000', '-64.17', '4.12', '1.99', '25.43', '40.05', '993.86', '655']
['0.00', '0.000000', '0.000000', '-64.17', '4.12', '1.99', '25.43', '40.05', '993.86', '655']
['0.00', '0.000000', '0.000000', '-64.11', '4.17', '-2.03', '25.41', '40.07', '993.80', '656']
['0.00', '0.000000', '0.000000', '-64.11', '4.17', '-2.03', '25.41', '40.07', '993.80', '656']
['0.00', '0.000000', '0.000000', '-64.11', '4.17', '-2.03', '25.41', '40.07', '993.80', '656']
['0.00', '0.000000', '0.000000', '-64.11', '4.17', '-2.03', '25.41', '40.07', '993.80', '657']
['0.00', '0.000000', '0.000000', '-64.11', '4.17', '-2.03', '25.41', '40.07', '993.80', '657']
['0.00', '0.000000', '0.000000', '-64.11', '4.17', '-2.03', '25.41', '40.07', '993.80', '657']
['0.00', '0.000000', '0.000000', '-64.11', '4.17', '-2.03', '25.41', '40.07', '993.80', '658']
['0.00', '0.000000', '0.000000', '-64.11', '4.17', '-2.03', '25.41', '40.07', '993.80', '658']
['0.00', '0.000000', '0.000000', '-64.11', '4.17', '-2.03', '25.41', '40.07', '993.80', '658']
['0.00', '0.000000', '0.000000', '-63.20', '7.42', '-11.36', '25.48', '40.14', '993.91', '659']
['0.00', '0.000000', '0.000000', '-63.20', '7.42', '-11.36', '25.48', '40.14', '993.91', '659']
['0.00', '0.000000', '0.000000', '-63.20', '7.42', '-11.36', '25.48', '40.14', '993.91', '659']
['0.00', '0.000000', '0.000000', '-63.20', '7.42', '-11.36', '25.48', '40.14', '993.91', '659']
['0.00', '0.000000', '0.000000', '-63.20', '7.42', '-11.36', '25.48', '40.14', '993.91', '660']
['0.00', '0.000000', '0.000000', '-63.20', '7.42', '-11.36', '25.48', '40.14', '993.91', '660']
