['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2713']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2713']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2713']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2713']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2713']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2713']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2713']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.84', '34.91', '1005.79', '118.22', '2713']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.90', '1005.83', '117.89', '2714']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.90', '1005.83', '117.89', '2714']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.90', '1005.83', '117.89', '2714']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.90', '1005.83', '117.89', '2714']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.90', '1005.83', '117.89', '2714']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.90', '1005.83', '117.89', '2714']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.90', '1005.83', '117.89', '2714']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.90', '1005.83', '117.89', '2714']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.90', '1005.83', '117.89', '2714']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.90', '1005.83', '117.89', '2714']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.90', '1005.83', '117.89', '2714']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.90', '1005.83', '117.89', '2714']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.90', '1005.83', '117.89', '2714']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.90', '1005.83', '117.89', '2714']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.90', '1005.83', '117.89', '2715']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.90', '1005.83', '117.89', '2715']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.90', '1005.83', '117.89', '2715']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.90', '1005.83', '117.89', '2715']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.90', '1005.83', '117.89', '2715']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.90', '1005.83', '117.89', '2715']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.90', '1005.83', '117.89', '2715']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.90', '1005.83', '117.89', '2715']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.90', '1005.83', '117.89', '2715']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.90', '1005.83', '117.89', '2715']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.90', '1005.83', '117.89', '2715']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.90', '1005.83', '117.89', '2715']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.90', '1005.83', '117.89', '2715']
['0.00', '54.678108', '25.262606', '-121.74', '52.82', '-85.68', '25.89', '34.90', '1005.83', '117.89', '2715']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2716']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2716']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2716']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2716']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2716']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2716']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2716']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2716']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2716']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2716']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2716']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2717']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2717']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2717']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2717']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2717']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2717']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2717']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2717']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2717']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2717']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2717']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2717']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2717']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2718']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2718']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2718']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2718']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2718']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2718']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2718']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2718']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2718']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2718']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2718']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2718']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2718']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.84', '34.90', '1005.77', '118.38', '2718']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.89', '34.89', '1005.82', '117.93', '2719']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.89', '34.89', '1005.82', '117.93', '2719']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.89', '34.89', '1005.82', '117.93', '2719']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.89', '34.89', '1005.82', '117.93', '2719']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.89', '34.89', '1005.82', '117.93', '2719']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.89', '34.89', '1005.82', '117.93', '2719']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.89', '34.89', '1005.82', '117.93', '2719']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.89', '34.89', '1005.82', '117.93', '2719']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.89', '34.89', '1005.82', '117.93', '2719']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.89', '34.89', '1005.82', '117.93', '2719']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.89', '34.89', '1005.82', '117.93', '2719']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.89', '34.89', '1005.82', '117.93', '2719']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.89', '34.89', '1005.82', '117.93', '2720']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.89', '34.89', '1005.82', '117.93', '2720']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.89', '34.89', '1005.82', '117.93', '2720']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.89', '34.89', '1005.82', '117.93', '2720']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.89', '34.89', '1005.82', '117.93', '2720']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.89', '34.89', '1005.82', '117.93', '2720']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.89', '34.89', '1005.82', '117.93', '2720']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.89', '34.89', '1005.82', '117.93', '2720']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.89', '34.89', '1005.82', '117.93', '2720']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.89', '34.89', '1005.82', '117.93', '2720']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.89', '34.89', '1005.82', '117.93', '2720']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.89', '34.89', '1005.82', '117.93', '2720']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.83', '34.98', '1005.80', '118.13', '2721']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.83', '34.98', '1005.80', '118.13', '2721']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.83', '34.98', '1005.80', '118.13', '2721']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.83', '34.98', '1005.80', '118.13', '2721']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.83', '34.98', '1005.80', '118.13', '2721']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.83', '34.98', '1005.80', '118.13', '2721']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.83', '34.98', '1005.80', '118.13', '2721']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.83', '34.98', '1005.80', '118.13', '2721']
['0.00', '54.678104', '25.262604', '-121.74', '52.82', '-85.68', '25.83', '34.98', '1005.80', '118.13', '2721']
