['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1346']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1346']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1346']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1346']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1346']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1346']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1346']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1346']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1346']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1346']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1346']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1347']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1347']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1347']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1347']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1347']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1347']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1347']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1347']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1347']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1347']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1347']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1347']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1347']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1347']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.51', '31.18', '999.59', '1347']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.18', '999.64', '1348']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.18', '999.64', '1348']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.18', '999.64', '1348']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.18', '999.64', '1348']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.18', '999.64', '1348']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.18', '999.64', '1348']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.18', '999.64', '1348']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.18', '999.64', '1348']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.18', '999.64', '1348']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.18', '999.64', '1348']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.18', '999.64', '1348']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.18', '999.64', '1348']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.18', '999.64', '1348']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.18', '999.64', '1348']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.18', '999.64', '1349']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.18', '999.64', '1349']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.18', '999.64', '1349']
['0.00', '0.000000', '0.000000', '-151.33', '-48.33', '-82.69', '25.55', '31.18', '999.64', '1349']
