['0.00', '54.678041', '25.263480', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678041', '25.263480', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678041', '25.263480', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678041', '25.263480', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678041', '25.263480', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678041', '25.263480', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678041', '25.263480', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678041', '25.263480', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678041', '25.263480', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678041', '25.263480', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678041', '25.263480', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678041', '25.263480', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678041', '25.263480', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678041', '25.263480', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678041', '25.263480', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678041', '25.263480', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678039', '25.263482', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678039', '25.263482', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678039', '25.263482', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678039', '25.263482', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678039', '25.263482', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678039', '25.263482', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678039', '25.263482', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678039', '25.263482', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678039', '25.263482', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678039', '25.263482', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678039', '25.263482', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678039', '25.263482', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678039', '25.263482', '41.31', '-16.49', '66.27', '30.23', '27.29', '996.54', '228.68', '4.63', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.23', '27.26', '996.54', '228.75', '4.70', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.23', '27.26', '996.54', '228.75', '4.70', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.23', '27.26', '996.54', '228.75', '4.70', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.23', '27.26', '996.54', '228.75', '4.70', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.23', '27.26', '996.54', '228.75', '4.70', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.23', '27.26', '996.54', '228.75', '4.70', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.23', '27.26', '996.54', '228.75', '4.70', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.23', '27.26', '996.54', '228.75', '4.70', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.23', '27.26', '996.54', '228.75', '4.70', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.23', '27.26', '996.54', '228.75', '4.70', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.23', '27.26', '996.54', '228.75', '4.70', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.23', '27.26', '996.54', '228.75', '4.70', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.23', '27.26', '996.54', '228.75', '4.70', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.23', '27.26', '996.54', '228.75', '4.70', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.23', '27.26', '996.54', '228.75', '4.70', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.23', '27.26', '996.54', '228.75', '4.70', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.23', '27.26', '996.54', '228.75', '4.70', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.23', '27.26', '996.54', '228.75', '4.70', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.23', '27.26', '996.54', '228.75', '4.70', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.23', '27.26', '996.54', '228.75', '4.70', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.23', '27.26', '996.54', '228.75', '4.70', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.23', '27.26', '996.54', '228.75', '4.70', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.23', '27.26', '996.54', '228.75', '4.70', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.23', '27.26', '996.54', '228.75', '4.70', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.23', '27.26', '996.54', '228.75', '4.70', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.23', '27.26', '996.54', '228.75', '4.70', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
['0.00', '54.678036', '25.263484', '41.31', '-16.49', '66.27', '30.15', '27.27', '996.38', '230.04', '5.99', '0.00', '0.00']
