['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7395']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7395']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7395']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7395']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7395']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7395']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.13', '31.03', '1004.49', '129.03', '7395']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7396']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7396']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7396']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7396']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7396']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7396']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7396']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7396']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7396']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7396']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7396']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7396']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7396']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7396']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7397']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7397']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7397']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7397']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7397']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7397']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7397']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7397']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7397']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7397']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7397']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7397']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7397']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7397']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7397']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7397']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.22', '31.02', '1004.62', '128.01', '7397']
['0.00', '0.000000', '0.000000', '114.18', '59.20', '91.04', '28.17', '31.03', '1004.56', '128.49', '7398']
