['0.00', '0.000000', '0.000000', '146.54', '-2.53', '-5.73', '29.16', '41.29', '993.91', '4951']
['0.00', '0.000000', '0.000000', '146.54', '-2.53', '-5.73', '29.16', '41.29', '993.91', '4952']
['0.00', '0.000000', '0.000000', '146.54', '-2.53', '-5.73', '29.16', '41.29', '993.91', '4952']
['0.00', '0.000000', '0.000000', '146.54', '-2.53', '-5.73', '29.16', '41.29', '993.91', '4952']
['0.00', '0.000000', '0.000000', '148.94', '5.56', '-2.09', '29.16', '40.49', '993.90', '4953']
['0.00', '0.000000', '0.000000', '148.94', '5.56', '-2.09', '29.16', '40.49', '993.90', '4953']
['0.00', '0.000000', '0.000000', '148.94', '5.56', '-2.09', '29.16', '40.49', '993.90', '4953']
['0.00', '0.000000', '0.000000', '148.94', '5.56', '-2.09', '29.16', '40.49', '993.90', '4954']
['0.00', '0.000000', '0.000000', '148.94', '5.56', '-2.09', '29.16', '40.49', '993.90', '4954']
['0.00', '0.000000', '0.000000', '148.94', '5.56', '-2.09', '29.16', '40.49', '993.90', '4954']
['0.00', '0.000000', '0.000000', '164.47', '14.14', '0.92', '28.73', '40.73', '993.24', '4955']
['0.00', '0.000000', '0.000000', '164.47', '14.14', '0.92', '28.73', '40.73', '993.24', '4955']
['0.00', '0.000000', '0.000000', '164.47', '14.14', '0.92', '28.73', '40.73', '993.24', '4955']
['0.00', '0.000000', '0.000000', '164.47', '14.14', '0.92', '28.73', '40.73', '993.24', '4956']
['0.00', '0.000000', '0.000000', '164.47', '14.14', '0.92', '28.73', '40.73', '993.24', '4956']
['0.00', '0.000000', '0.000000', '164.47', '14.14', '0.92', '28.73', '40.73', '993.24', '4956']
['0.00', '0.000000', '0.000000', '164.47', '14.14', '0.92', '28.73', '40.73', '993.24', '4957']
['0.00', '0.000000', '0.000000', '164.47', '14.14', '0.92', '28.73', '40.73', '993.24', '4957']
['0.00', '0.000000', '0.000000', '164.47', '14.14', '0.92', '28.73', '40.73', '993.24', '4957']
['0.00', '0.000000', '0.000000', '164.47', '14.14', '0.92', '28.73', '40.73', '993.24', '4957']
['0.00', '0.000000', '0.000000', '-169.14', '25.12', '-11.32', '29.19', '41.89', '993.89', '4958']
['0.00', '0.000000', '0.000000', '-169.14', '25.12', '-11.32', '29.19', '41.89', '993.89', '4958']
['0.00', '0.000000', '0.000000', '-169.14', '25.12', '-11.32', '29.19', '41.89', '993.89', '4959']
['0.00', '0.000000', '0.000000', '-169.14', '25.12', '-11.32', '29.19', '41.89', '993.89', '4959']
['0.00', '0.000000', '0.000000', '-169.14', '25.12', '-11.32', '29.19', '41.89', '993.89', '4959']
['0.00', '0.000000', '0.000000', '-169.14', '25.12', '-11.32', '29.19', '41.89', '993.89', '4959']
['0.00', '0.000000', '0.000000', '-156.97', '32.31', '-26.94', '29.20', '42.62', '993.92', '4960']
['0.00', '0.000000', '0.000000', '-156.97', '32.31', '-26.94', '29.20', '42.62', '993.92', '4960']
['0.00', '0.000000', '0.000000', '-156.97', '32.31', '-26.94', '29.20', '42.62', '993.92', '4960']
['0.00', '0.000000', '0.000000', '-156.97', '32.31', '-26.94', '29.20', '42.62', '993.92', '4961']
['0.00', '0.000000', '0.000000', '-156.97', '32.31', '-26.94', '29.20', '42.62', '993.92', '4961']
['0.00', '0.000000', '0.000000', '-156.97', '32.31', '-26.94', '29.20', '42.62', '993.92', '4961']
['0.00', '0.000000', '0.000000', '-156.97', '32.31', '-26.94', '29.20', '42.62', '993.92', '4962']
['0.00', '0.000000', '0.000000', '-156.97', '32.31', '-26.94', '29.20', '42.62', '993.92', '4962']
['0.00', '0.000000', '0.000000', '-156.97', '32.31', '-26.94', '29.20', '42.62', '993.92', '4962']
['0.00', '0.000000', '0.000000', '-168.14', '4.35', '-26.32', '29.20', '42.79', '993.88', '4963']
['0.00', '0.000000', '0.000000', '-168.14', '4.35', '-26.32', '29.20', '42.79', '993.88', '4963']
['0.00', '0.000000', '0.000000', '-168.14', '4.35', '-26.32', '29.20', '42.79', '993.88', '4963']
['0.00', '0.000000', '0.000000', '-168.14', '4.35', '-26.32', '29.20', '42.79', '993.88', '4964']
['0.00', '0.000000', '0.000000', '-168.14', '4.35', '-26.32', '29.20', '42.79', '993.88', '4964']
['0.00', '0.000000', '0.000000', '-168.14', '4.35', '-26.32', '29.20', '42.79', '993.88', '4964']
['0.00', '0.000000', '0.000000', '-168.14', '4.35', '-26.32', '29.20', '42.79', '993.88', '4965']
['0.00', '0.000000', '0.000000', '-168.14', '4.35', '-26.32', '29.20', '42.79', '993.88', '4965']
['0.00', '0.000000', '0.000000', '-168.14', '4.35', '-26.32', '29.20', '42.79', '993.88', '4965']
['0.00', '0.000000', '0.000000', '-139.89', '-6.70', '-24.76', '29.20', '42.41', '993.91', '4966']
['0.00', '0.000000', '0.000000', '-139.89', '-6.70', '-24.76', '29.20', '42.41', '993.91', '4966']
['0.00', '0.000000', '0.000000', '-139.89', '-6.70', '-24.76', '29.20', '42.41', '993.91', '4966']
['0.00', '0.000000', '0.000000', '-139.89', '-6.70', '-24.76', '29.20', '42.41', '993.91', '4967']
['0.00', '0.000000', '0.000000', '-139.89', '-6.70', '-24.76', '29.20', '42.41', '993.91', '4967']
['0.00', '0.000000', '0.000000', '-139.89', '-6.70', '-24.76', '29.20', '42.41', '993.91', '4967']
['0.00', '0.000000', '0.000000', '-90.69', '-15.92', '-3.01', '28.75', '41.64', '993.28', '4968']
['0.00', '0.000000', '0.000000', '-90.69', '-15.92', '-3.01', '28.75', '41.64', '993.28', '4968']
['0.00', '0.000000', '0.000000', '-90.69', '-15.92', '-3.01', '28.75', '41.64', '993.28', '4968']
['0.00', '0.000000', '0.000000', '-90.69', '-15.92', '-3.01', '28.75', '41.64', '993.28', '4969']
['0.00', '0.000000', '0.000000', '-90.69', '-15.92', '-3.01', '28.75', '41.64', '993.28', '4969']
['0.00', '0.000000', '0.000000', '-90.69', '-15.92', '-3.01', '28.75', '41.64', '993.28', '4969']
['0.00', '0.000000', '0.000000', '-90.69', '-15.92', '-3.01', '28.75', '41.64', '993.28', '4970']
['0.00', '0.000000', '0.000000', '-90.69', '-15.92', '-3.01', '28.75', '41.64', '993.28', '4970']
['0.00', '0.000000', '0.000000', '-90.69', '-15.92', '-3.01', '28.75', '41.64', '993.28', '4970']
['0.00', '0.000000', '0.000000', '-57.71', '-15.42', '13.01', '29.13', '40.80', '993.81', '4971']
['0.00', '0.000000', '0.000000', '-57.71', '-15.42', '13.01', '29.13', '40.80', '993.81', '4971']
['0.00', '0.000000', '0.000000', '-57.71', '-15.42', '13.01', '29.13', '40.80', '993.81', '4971']
['0.00', '0.000000', '0.000000', '-57.71', '-15.42', '13.01', '29.13', '40.80', '993.81', '4972']
['0.00', '0.000000', '0.000000', '-57.71', '-15.42', '13.01', '29.13', '40.80', '993.81', '4972']
['0.00', '0.000000', '0.000000', '-57.71', '-15.42', '13.01', '29.13', '40.80', '993.81', '4972']
['0.00', '0.000000', '0.000000', '-61.06', '5.36', '2.33', '29.16', '39.85', '993.88', '4973']
['0.00', '0.000000', '0.000000', '-61.06', '5.36', '2.33', '29.16', '39.85', '993.88', '4973']
['0.00', '0.000000', '0.000000', '-61.06', '5.36', '2.33', '29.16', '39.85', '993.88', '4973']
['0.00', '0.000000', '0.000000', '-61.06', '5.36', '2.33', '29.16', '39.85', '993.88', '4974']
['0.00', '0.000000', '0.000000', '-61.06', '5.36', '2.33', '29.16', '39.85', '993.88', '4974']
['0.00', '0.000000', '0.000000', '-61.06', '5.36', '2.33', '29.16', '39.85', '993.88', '4974']
['0.00', '0.000000', '0.000000', '-61.06', '5.36', '2.33', '29.16', '39.85', '993.88', '4975']
['0.00', '0.000000', '0.000000', '-61.06', '5.36', '2.33', '29.16', '39.85', '993.88', '4975']
['0.00', '0.000000', '0.000000', '-61.06', '5.36', '2.33', '29.16', '39.85', '993.88', '4975']
['0.00', '0.000000', '0.000000', '-94.64', '21.39', '-4.51', '29.12', '39.44', '993.85', '4976']
['0.00', '0.000000', '0.000000', '-94.64', '21.39', '-4.51', '29.12', '39.44', '993.85', '4976']
['0.00', '0.000000', '0.000000', '-94.64', '21.39', '-4.51', '29.12', '39.44', '993.85', '4976']
['0.00', '0.000000', '0.000000', '-94.64', '21.39', '-4.51', '29.12', '39.44', '993.85', '4976']
['0.00', '0.000000', '0.000000', '-94.64', '21.39', '-4.51', '29.12', '39.44', '993.85', '4977']
['0.00', '0.000000', '0.000000', '-94.64', '21.39', '-4.51', '29.12', '39.44', '993.85', '4977']
['0.00', '0.000000', '0.000000', '-94.64', '21.39', '-4.51', '29.12', '39.44', '993.85', '4977']
['0.00', '0.000000', '0.000000', '-94.64', '21.39', '-4.51', '29.12', '39.44', '993.85', '4978']
['0.00', '0.000000', '0.000000', '-94.64', '21.39', '-4.51', '29.12', '39.44', '993.85', '4978']
